seat_id,event_id,section,row,seat_number,price
1,1,C,24,13,733.28
2,1,D,3,36,683.28
3,1,VIP,26,22,733.28
4,1,C,4,36,733.28
5,1,C,29,19,683.28
6,1,B,22,2,883.28
7,1,VIP,15,45,883.28
8,1,C,1,25,733.28
9,1,B,4,50,783.28
10,1,D,11,15,783.28
11,1,B,28,23,883.28
12,1,D,28,31,883.28
13,1,C,2,32,733.28
14,1,D,25,8,883.28
15,1,C,29,7,883.28
16,1,VIP,11,15,783.28
17,1,D,9,14,733.28
18,1,A,1,25,783.28
19,1,C,4,26,783.28
20,1,D,26,16,683.28
21,1,B,11,45,733.28
22,1,VIP,3,45,883.28
23,1,C,11,12,883.28
24,1,VIP,11,19,733.28
25,1,C,26,2,783.28
26,1,B,17,24,683.28
27,1,VIP,6,45,783.28
28,1,VIP,9,17,783.28
29,1,A,13,49,683.28
30,1,A,30,41,733.28
31,1,VIP,19,12,683.28
32,1,D,17,37,783.28
33,1,B,4,6,883.28
34,1,B,14,44,683.28
35,1,B,19,25,733.28
36,1,A,23,20,783.28
37,1,A,17,44,883.28
38,1,A,11,49,883.28
39,1,A,14,14,883.28
40,1,D,7,33,783.28
41,1,D,22,49,783.28
42,1,C,4,25,783.28
43,1,B,13,32,733.28
44,1,VIP,20,7,883.28
45,1,B,9,19,683.28
46,1,C,22,37,683.28
47,1,D,19,45,733.28
48,1,A,6,45,733.28
49,1,C,13,41,683.28
50,1,B,14,14,883.28
51,1,D,8,28,733.28
52,1,C,29,32,883.28
53,1,C,4,26,883.28
54,1,VIP,19,29,883.28
55,1,A,21,17,883.28
56,1,D,17,14,733.28
57,1,B,20,12,683.28
58,1,A,20,47,683.28
59,1,A,24,42,783.28
60,1,D,24,36,883.28
61,1,B,22,34,683.28
62,1,C,5,30,783.28
63,1,VIP,8,27,683.28
64,1,D,25,43,783.28
65,1,B,13,19,733.28
66,1,D,5,28,883.28
67,1,C,3,4,733.28
68,1,VIP,26,32,733.28
69,1,C,18,3,783.28
70,1,B,24,23,783.28
71,1,A,8,34,783.28
72,1,A,16,2,733.28
73,1,A,19,24,783.28
74,1,D,7,19,883.28
75,1,C,21,14,733.28
